COD_CNAE;DISC_CNAE;CLA_RISCO
2949201;Fabricação de bancos e estofados para veículos automotores;Baixo Risco
2950600;Recondicionamento e recuperação de motores para veículos automotores;Baixo Risco
3011301;Construção de embarcações de grande porte;Baixo Risco
3012100;Construção de embarcações para esporte e lazer;Baixo Risco
3031800;Fabricação de locomotivas, vagões e outros materiais rodantes;Baixo Risco
3032600;Fabricação de peças e acessórios para veículos ferroviários;Baixo Risco
3041500;Fabricação de aeronaves;Baixo Risco
3042300;Fabricação de turbinas, motores e outros componentes e peças para aeronaves;Baixo Risco
3050400;Fabricação de veículos militares de combate;Baixo Risco
3091101;Fabricação de motocicletas;Baixo Risco
3091102;Fabricação de peças e acessórios para motocicletas;Baixo Risco
3099700;Fabricação de equipamentos de transporte não especificados anteriormente;Baixo Risco
3101200;Fabricação de móveis com predominância de madeira;Baixo Risco
3102100;Fabricação de móveis com predominância de metal;Baixo Risco
3103900;Fabricação de móveis de outros materiais, exceto madeira e metal;Baixo Risco
3211601;Lapidação de gemas;Baixo Risco
3211602;Fabricação de artefatos de joalheria e ourivesaria;Baixo Risco
3211603;Cunhagem de moedas e medalhas;Baixo Risco
3212400;Fabricação de bijuterias e artefatos semelhantes;Baixo Risco
3220500;Fabricação de instrumentos musicais, peças e acessórios;Baixo Risco
3230200;Fabricação de artefatos para pesca e esporte;Baixo Risco
3240001;Fabricação de jogos eletrônicos;Baixo Risco
3240002;Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação;Baixo Risco
3240003;Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação;Baixo Risco
3240099;Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;Baixo Risco
3292201;Fabricação de roupas de proteção e segurança e resistentes a fogo;Baixo Risco
3299001;Fabricação de guarda-chuvas e similares;Baixo Risco
3299002;Fabricação de canetas, lápis e outros artigos para escritório;Baixo Risco
3299003;Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;Baixo Risco
3299004;Fabricação de painéis e letreiros luminosos;Baixo Risco
3299005;Fabricação de aviamentos para costura;Baixo Risco
3299099;Fabricação de produtos diversos não especificados anteriormente;Baixo Risco
3313901;Manutenção e reparação de geradores, transformadores e motores elétricos;Baixo Risco
3314701;Manutenção e reparação de máquinas motrizes não elétricas;Baixo Risco
3314704;Manutenção e reparação de compressores;Baixo Risco
3314705;Manutenção e reparação de equipamentos de transmissão para fins industriais;Baixo Risco
3314711;Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária;Baixo Risco
3314716;Manutenção e reparação de tratores, exceto agrícolas;Baixo Risco
3314722;Manutenção e reparação de máquinas e aparelhos para a indústria do plástico;Baixo Risco
3315500;Manutenção e reparação de veículos ferroviários;Baixo Risco
3316301;Manutenção e reparação de aeronaves, exceto a manutenção na pista;Baixo Risco
3316302;Manutenção de aeronaves na pista;Baixo Risco
3317101;Manutenção e reparação de embarcações e estruturas flutuantes;Baixo Risco
